EmployeeID,Age,Gender,MaritalStatus,Department,JobRole,Education,EducationField,MonthlyIncome,YearsAtCompany,OverTime,WorkLifeBalance,JobSatisfaction,EnvironmentSatisfaction,PerformanceRating,DistanceFromHome,BusinessTravel,NumCompaniesWorked,YearsSinceLastPromotion,Attrition
1030,32,Female,Divorced,Research & Development,Laboratory Technician,4,Life Sciences,5850,14,Yes,3,3,1,3,5,Non-Travel,6,4,No
1031,27,Female,Married,Sales,Sales Representative,5,Technical Degree,2313,3,Yes,4,4,1,4,28,Travel_Frequently,9,12,Yes
1032,44,Female,Divorced,Human Resources,Manager,4,Human Resources,11246,26,Yes,4,2,4,3,1,Travel_Rarely,6,5,No
1033,36,Female,Divorced,Human Resources,Human Resources,5,Human Resources,10012,1,Yes,4,2,2,4,2,Non-Travel,5,6,No
1034,40,Female,Single,Sales,Sales Representative,4,Marketing,4242,22,Yes,1,3,1,3,25,Travel_Frequently,0,0,No
1035,40,Male,Married,Sales,Sales Executive,2,Medical,11883,7,Yes,4,3,2,3,20,Travel_Rarely,1,5,No
1036,36,Female,Married,Sales,Sales Executive,5,Other,11976,18,Yes,1,2,3,3,28,Travel_Rarely,1,1,Yes
1037,18,Male,Married,Research & Development,Healthcare Representative,5,Other,9376,0,No,4,1,3,3,21,Travel_Frequently,7,4,No
1038,37,Female,Divorced,Research & Development,Healthcare Representative,4,Technical Degree,5453,19,No,3,2,1,3,9,Travel_Frequently,3,14,No
1039,37,Male,Single,Research & Development,Healthcare Representative,4,Marketing,1009,19,Yes,3,3,3,3,18,Non-Travel,3,2,Yes
1040,35,Male,Divorced,Research & Development,Manager,4,Other,7749,17,No,1,1,4,3,23,Non-Travel,9,11,No
1041,50,Female,Married,Research & Development,Manufacturing Director,3,Other,4686,17,No,3,2,2,3,11,Non-Travel,8,5,Yes
1042,29,Female,Married,Research & Development,Healthcare Representative,1,Medical,4743,11,No,2,3,2,3,9,Non-Travel,0,9,No
1043,45,Male,Married,Sales,Sales Representative,1,Human Resources,7650,27,No,4,3,1,3,9,Travel_Frequently,7,3,No
1044,32,Male,Divorced,Research & Development,Research Scientist,2,Medical,8296,14,Yes,2,1,4,3,20,Travel_Rarely,9,7,No
1045,37,Female,Married,Research & Development,Manufacturing Director,5,Technical Degree,9890,19,Yes,1,2,3,3,22,Non-Travel,3,5,No
1046,30,Female,Married,Sales,Sales Representative,5,Technical Degree,5353,2,Yes,3,3,4,3,3,Travel_Rarely,4,6,No
1047,33,Female,Single,Research & Development,Laboratory Technician,2,Life Sciences,1377,10,No,3,4,3,3,23,Travel_Rarely,4,15,No
1048,39,Female,Single,Research & Development,Manufacturing Director,5,Marketing,7413,5,Yes,1,3,2,3,16,Travel_Rarely,7,8,Yes
1049,37,Male,Married,Research & Development,Manufacturing Director,4,Marketing,5678,19,No,1,2,4,3,10,Travel_Rarely,6,1,No
1050,24,Male,Single,Sales,Sales Representative,4,Human Resources,5027,6,No,4,1,3,3,20,Travel_Rarely,7,1,Yes
1051,33,Female,Single,Research & Development,Healthcare Representative,4,Life Sciences,3692,15,Yes,2,3,4,3,3,Non-Travel,1,14,No
1052,35,Female,Divorced,Research & Development,Laboratory Technician,3,Human Resources,7914,17,No,4,4,2,3,13,Non-Travel,9,4,No
1053,53,Female,Single,Sales,Sales Representative,5,Marketing,7111,18,No,4,2,4,3,12,Travel_Rarely,8,12,No
1054,39,Male,Single,Sales,Sales Executive,5,Technical Degree,6239,21,Yes,3,4,4,3,13,Travel_Frequently,2,15,No
1055,19,Female,Single,Sales,Manager,1,Technical Degree,6407,1,No,1,2,2,3,3,Travel_Rarely,4,10,No
1056,37,Female,Married,Research & Development,Research Scientist,5,Technical Degree,15121,19,No,1,1,3,3,8,Travel_Rarely,6,3,No
1057,35,Female,Married,Research & Development,Research Scientist,2,Other,7555,1,Yes,3,1,3,3,14,Non-Travel,8,13,No
1058,36,Male,Married,Research & Development,Laboratory Technician,1,Human Resources,2409,18,Yes,4,2,3,3,15,Non-Travel,0,14,No
1059,47,Male,Divorced,Research & Development,Laboratory Technician,4,Marketing,9131,19,No,3,4,2,3,13,Travel_Frequently,1,7,No
1060,44,Female,Married,Research & Development,Healthcare Representative,1,Other,3317,17,Yes,1,4,3,3,25,Travel_Rarely,9,11,Yes
1061,49,Male,Divorced,Sales,Sales Representative,1,Other,1593,2,No,4,1,2,3,3,Travel_Frequently,5,13,Yes
1062,42,Female,Married,Sales,Manager,5,Human Resources,14166,10,No,4,3,3,3,26,Non-Travel,1,4,No
1063,28,Female,Single,Sales,Manager,5,Marketing,4517,10,Yes,3,1,3,3,19,Travel_Rarely,5,3,No
1064,37,Female,Divorced,Research & Development,Manager,5,Medical,4737,4,No,3,4,1,3,2,Travel_Rarely,7,3,Yes
1065,23,Female,Divorced,Research & Development,Laboratory Technician,4,Marketing,6739,5,No,2,4,4,3,20,Travel_Rarely,4,1,No
1066,27,Male,Divorced,Sales,Sales Representative,3,Life Sciences,8157,9,No,1,4,1,3,28,Travel_Frequently,1,6,No
1067,28,Male,Single,Research & Development,Research Scientist,3,Medical,11924,10,Yes,1,2,2,3,11,Travel_Rarely,9,0,Yes
1068,29,Female,Divorced,Human Resources,Human Resources,2,Life Sciences,5372,1,Yes,1,3,2,3,19,Travel_Rarely,2,8,Yes
1069,44,Male,Married,Research & Development,Manager,1,Technical Degree,2191,23,Yes,4,2,1,4,24,Travel_Rarely,8,9,Yes
1070,39,Female,Divorced,Human Resources,Human Resources,4,Technical Degree,11074,6,No,4,1,3,4,20,Non-Travel,2,8,No
1071,22,Female,Married,Research & Development,Healthcare Representative,5,Human Resources,7146,4,No,1,1,2,4,14,Travel_Rarely,3,13,Yes
1072,39,Male,Married,Research & Development,Manufacturing Director,3,Technical Degree,9236,16,No,2,4,1,3,3,Travel_Rarely,5,4,No
1073,25,Female,Married,Research & Development,Manager,1,Technical Degree,1878,7,Yes,3,3,2,3,5,Travel_Rarely,3,3,Yes
1074,41,Female,Married,Research & Development,Research Scientist,5,Medical,7539,23,Yes,3,1,3,3,11,Travel_Rarely,2,4,No
1075,39,Male,Divorced,Research & Development,Laboratory Technician,1,Other,7712,13,No,4,4,3,3,10,Travel_Rarely,9,2,No
1076,30,Male,Married,Sales,Manager,1,Marketing,7312,12,No,4,4,1,3,12,Travel_Rarely,4,15,No
1077,39,Female,Single,Sales,Sales Executive,5,Life Sciences,3999,13,No,2,2,3,3,11,Non-Travel,7,13,Yes
1078,53,Female,Divorced,Research & Development,Laboratory Technician,1,Technical Degree,8158,2,No,1,4,3,4,19,Travel_Rarely,6,13,No
1079,26,Male,Divorced,Research & Development,Healthcare Representative,5,Technical Degree,8797,8,Yes,4,1,4,3,17,Non-Travel,4,10,Yes
1080,28,Male,Single,Research & Development,Research Scientist,5,Human Resources,9254,10,No,2,2,3,3,7,Non-Travel,2,2,Yes
1081,47,Female,Married,Research & Development,Manufacturing Director,5,Human Resources,3627,29,No,3,2,4,3,15,Travel_Rarely,4,1,No
1082,45,Female,Married,Sales,Sales Representative,1,Life Sciences,7944,18,Yes,1,4,1,3,15,Travel_Frequently,9,6,Yes
1083,44,Male,Married,Research & Development,Laboratory Technician,4,Life Sciences,13138,5,Yes,1,2,4,3,17,Travel_Rarely,2,11,Yes
1084,34,Female,Divorced,Sales,Sales Representative,5,Life Sciences,3861,16,Yes,3,1,4,3,10,Non-Travel,9,4,Yes
1085,28,Female,Divorced,Research & Development,Laboratory Technician,3,Other,3644,10,Yes,1,3,3,3,27,Non-Travel,8,2,No
1086,36,Male,Single,Research & Development,Healthcare Representative,3,Marketing,7694,13,No,4,2,2,3,5,Non-Travel,1,1,No
1087,39,Male,Single,Research & Development,Manager,5,Technical Degree,9395,10,Yes,2,4,3,3,22,Travel_Rarely,7,9,No
1088,37,Male,Single,Research & Development,Laboratory Technician,3,Technical Degree,11587,19,No,4,3,4,3,6,Travel_Frequently,9,4,No
1089,34,Female,Divorced,Sales,Sales Representative,5,Life Sciences,16020,16,Yes,3,1,3,3,15,Travel_Frequently,2,13,Yes
1090,42,Female,Single,Human Resources,Manager,1,Technical Degree,3499,24,No,2,4,3,4,8,Non-Travel,1,10,No
1091,27,Female,Married,Sales,Sales Representative,2,Other,8188,9,Yes,1,1,2,3,18,Travel_Frequently,9,13,Yes
1092,34,Male,Married,Sales,Sales Representative,1,Medical,8999,16,No,1,1,4,3,20,Travel_Rarely,8,7,No
1093,41,Female,Married,Sales,Sales Executive,2,Human Resources,6245,11,Yes,3,1,1,4,13,Travel_Frequently,0,12,No
1094,29,Female,Single,Sales,Sales Executive,1,Marketing,1198,11,Yes,3,2,3,3,27,Travel_Rarely,7,15,Yes
1095,32,Female,Single,Research & Development,Research Scientist,1,Marketing,9497,2,Yes,1,3,4,4,27,Travel_Rarely,4,1,No
1096,38,Male,Single,Sales,Sales Representative,3,Marketing,2139,20,No,4,4,4,4,11,Travel_Frequently,7,15,Yes
1097,38,Male,Married,Research & Development,Healthcare Representative,4,Life Sciences,7848,20,Yes,3,3,3,3,22,Non-Travel,7,13,Yes
1098,29,Male,Married,Research & Development,Manufacturing Director,3,Human Resources,7038,11,Yes,1,4,2,3,1,Non-Travel,9,14,Yes
1099,37,Female,Divorced,Sales,Manager,3,Technical Degree,2499,2,Yes,4,3,1,3,19,Non-Travel,5,12,Yes
1100,40,Male,Divorced,Sales,Sales Executive,2,Technical Degree,8462,22,Yes,3,3,2,3,20,Non-Travel,7,6,Yes
1101,46,Male,Divorced,Research & Development,Manufacturing Director,4,Life Sciences,10188,20,No,1,3,2,4,23,Travel_Rarely,2,11,No
1102,24,Male,Single,Sales,Sales Executive,2,Technical Degree,3217,6,No,4,2,1,3,3,Travel_Rarely,7,13,No
1103,41,Male,Single,Research & Development,Research Scientist,3,Other,8298,23,No,3,2,2,4,25,Travel_Frequently,6,1,No
1104,41,Male,Divorced,Research & Development,Healthcare Representative,2,Marketing,19984,14,No,3,1,3,3,5,Travel_Rarely,9,2,No
1105,42,Male,Divorced,Sales,Manager,2,Other,10474,24,No,1,1,3,3,21,Non-Travel,9,13,No
1106,45,Female,Single,Sales,Manager,3,Technical Degree,8779,25,No,4,1,2,3,15,Travel_Rarely,7,6,Yes
1107,34,Female,Single,Sales,Manager,3,Technical Degree,9156,16,Yes,3,2,3,3,15,Non-Travel,1,1,Yes
1108,30,Female,Married,Research & Development,Manager,2,Medical,5671,12,No,2,2,4,3,16,Travel_Frequently,7,0,Yes
1109,32,Male,Married,Research & Development,Manufacturing Director,2,Human Resources,6786,3,Yes,3,4,4,3,10,Travel_Rarely,1,13,Yes
1110,57,Female,Married,Sales,Sales Representative,3,Life Sciences,1009,3,Yes,3,3,4,3,25,Travel_Rarely,9,3,Yes
1111,43,Female,Single,Sales,Sales Representative,5,Marketing,1009,12,No,1,1,3,3,26,Travel_Rarely,7,4,No
1112,32,Female,Divorced,Research & Development,Healthcare Representative,2,Technical Degree,10311,14,No,4,3,1,3,12,Travel_Rarely,1,13,No
1113,37,Female,Divorced,Research & Development,Research Scientist,3,Other,2727,19,Yes,1,4,4,3,5,Travel_Frequently,3,1,No
1114,30,Male,Married,Research & Development,Laboratory Technician,4,Marketing,8878,9,No,2,4,4,3,28,Travel_Frequently,0,4,No
1115,30,Female,Married,Research & Development,Manufacturing Director,3,Medical,7257,12,No,3,3,2,3,8,Non-Travel,4,7,No
1116,37,Male,Married,Human Resources,Manager,4,Marketing,4219,19,No,3,1,4,3,29,Travel_Frequently,5,4,No
1117,56,Male,Divorced,Sales,Manager,3,Technical Degree,8718,16,No,2,2,3,3,18,Travel_Rarely,2,3,No
1118,18,Male,Divorced,Research & Development,Laboratory Technician,5,Medical,7152,0,Yes,1,4,4,3,4,Travel_Rarely,2,0,No
1119,31,Female,Divorced,Human Resources,Human Resources,4,Technical Degree,9483,12,No,3,3,1,3,21,Travel_Rarely,8,1,No
1120,29,Male,Single,Sales,Sales Executive,4,Technical Degree,6098,11,Yes,1,3,1,3,11,Non-Travel,8,15,No
1121,41,Female,Single,Sales,Manager,3,Medical,9530,21,Yes,4,3,1,3,24,Travel_Rarely,4,6,Yes
1122,26,Female,Single,Research & Development,Manufacturing Director,5,Marketing,5329,8,Yes,2,2,2,3,1,Non-Travel,3,14,No
1123,32,Male,Married,Human Resources,Manager,3,Other,4213,14,Yes,1,4,4,3,22,Travel_Rarely,4,3,No
1124,52,Male,Married,Human Resources,Manager,2,Medical,7917,9,No,3,4,4,3,25,Travel_Rarely,3,7,No
1125,25,Female,Married,Research & Development,Research Scientist,5,Other,9712,4,Yes,1,2,2,3,6,Travel_Rarely,8,14,Yes
1126,56,Female,Married,Sales,Manager,1,Human Resources,10113,3,No,2,4,1,3,18,Travel_Rarely,4,0,No
1127,23,Male,Married,Research & Development,Laboratory Technician,1,Technical Degree,4805,4,Yes,1,4,4,3,6,Travel_Rarely,6,11,No
1128,48,Female,Divorced,Research & Development,Manufacturing Director,1,Other,4023,30,Yes,3,1,4,3,17,Non-Travel,3,0,No
1129,40,Female,Single,Human Resources,Manager,5,Technical Degree,9211,15,No,3,2,1,3,2,Travel_Frequently,6,0,Yes
1130,28,Male,Divorced,Sales,Manager,4,Human Resources,6291,3,Yes,1,4,2,3,25,Travel_Frequently,0,4,Yes
1131,18,Female,Divorced,Sales,Manager,5,Human Resources,2914,0,Yes,3,2,2,4,14,Travel_Rarely,0,5,No
1132,34,Male,Divorced,Research & Development,Manufacturing Director,3,Other,2132,16,No,4,4,4,3,6,Travel_Rarely,7,7,No
1133,51,Male,Divorced,Sales,Manager,4,Life Sciences,1494,26,No,2,4,2,3,11,Travel_Rarely,7,11,Yes
1134,33,Male,Divorced,Research & Development,Laboratory Technician,3,Technical Degree,6957,15,Yes,1,2,2,3,16,Non-Travel,5,9,No
1135,49,Male,Divorced,Sales,Sales Executive,4,Medical,1474,31,Yes,4,2,3,3,13,Travel_Rarely,5,9,Yes
1136,47,Female,Married,Research & Development,Manufacturing Director,1,Other,6535,20,Yes,3,3,2,3,24,Non-Travel,4,13,Yes
1137,28,Female,Married,Sales,Sales Executive,5,Medical,8117,10,No,3,4,4,4,15,Non-Travel,5,5,Yes
1138,38,Male,Single,Research & Development,Laboratory Technician,5,Life Sciences,4399,3,Yes,4,2,2,3,3,Travel_Rarely,0,6,No
1139,37,Female,Single,Research & Development,Manager,4,Life Sciences,5151,19,No,1,1,3,3,18,Travel_Frequently,0,13,No
1140,38,Male,Single,Human Resources,Human Resources,5,Medical,8817,12,No,3,3,1,3,12,Travel_Frequently,7,7,No
1141,51,Male,Married,Sales,Manager,1,Life Sciences,2167,24,No,4,1,2,3,3,Travel_Rarely,6,10,No
1142,56,Male,Divorced,Research & Development,Research Scientist,2,Medical,1009,36,No,3,1,3,4,29,Travel_Rarely,0,5,No
1143,35,Male,Married,Sales,Sales Executive,4,Life Sciences,8559,10,Yes,4,3,2,3,26,Travel_Frequently,1,11,Yes
1144,39,Female,Divorced,Research & Development,Research Scientist,5,Human Resources,4320,21,No,1,3,4,3,16,Non-Travel,8,12,No
1145,35,Male,Single,Research & Development,Manufacturing Director,5,Marketing,4774,4,Yes,3,2,2,3,24,Travel_Rarely,5,3,Yes
1146,31,Female,Single,Human Resources,Manager,3,Life Sciences,9473,5,Yes,4,4,4,3,4,Non-Travel,5,2,No
1147,40,Male,Married,Research & Development,Manufacturing Director,3,Technical Degree,4074,5,Yes,2,4,3,3,10,Non-Travel,2,2,Yes
1148,45,Female,Married,Sales,Sales Representative,1,Marketing,7575,15,No,2,4,3,3,1,Travel_Frequently,5,12,No
1149,44,Female,Married,Sales,Sales Representative,5,Medical,8703,20,Yes,4,3,4,3,11,Non-Travel,7,7,No
1150,29,Female,Single,Sales,Sales Representative,1,Human Resources,4539,11,Yes,1,4,2,4,15,Travel_Rarely,1,13,No
1151,43,Male,Single,Sales,Sales Representative,3,Other,8636,25,No,1,4,4,4,19,Travel_Rarely,8,13,No
1152,36,Male,Divorced,Research & Development,Healthcare Representative,1,Medical,6910,18,Yes,1,4,3,4,26,Travel_Rarely,0,3,Yes
1153,48,Male,Married,Research & Development,Manager,4,Marketing,4429,29,Yes,3,1,3,3,14,Travel_Frequently,1,3,No
1154,41,Female,Single,Research & Development,Healthcare Representative,3,Technical Degree,5792,23,No,3,4,4,3,11,Non-Travel,0,3,Yes
1155,35,Male,Single,Sales,Sales Executive,2,Human Resources,10345,17,Yes,3,4,2,4,26,Travel_Rarely,2,5,No
1156,44,Male,Married,Research & Development,Research Scientist,4,Human Resources,9347,24,Yes,2,2,1,3,19,Non-Travel,8,5,Yes
1157,48,Female,Divorced,Sales,Sales Executive,4,Human Resources,6573,20,No,4,1,4,3,20,Non-Travel,4,2,No
1158,43,Female,Married,Sales,Sales Executive,1,Medical,5414,9,No,4,2,4,3,6,Travel_Rarely,8,5,No
1159,39,Male,Divorced,Research & Development,Laboratory Technician,3,Technical Degree,6044,3,No,1,4,4,3,18,Travel_Rarely,7,13,No
1160,37,Female,Divorced,Research & Development,Manufacturing Director,2,Life Sciences,8583,1,Yes,3,1,3,3,6,Travel_Rarely,9,15,No
1161,29,Female,Divorced,Sales,Sales Executive,5,Marketing,13823,2,No,2,4,2,3,10,Travel_Frequently,0,14,Yes
1162,27,Female,Single,Research & Development,Research Scientist,1,Medical,2250,9,No,4,2,2,3,27,Non-Travel,0,11,Yes
1163,47,Female,Divorced,Research & Development,Laboratory Technician,3,Marketing,9270,17,Yes,2,4,3,4,28,Travel_Rarely,2,7,Yes
1164,42,Female,Divorced,Sales,Sales Executive,4,Medical,8699,24,No,4,4,1,3,13,Travel_Rarely,4,11,No
1165,36,Male,Married,Research & Development,Manager,1,Other,3359,18,No,1,4,4,3,27,Non-Travel,4,10,No
1166,37,Male,Married,Sales,Manager,5,Technical Degree,4129,3,Yes,1,4,2,3,15,Travel_Rarely,6,6,No
1167,45,Male,Divorced,Human Resources,Manager,3,Life Sciences,5985,23,No,1,3,2,3,2,Travel_Rarely,4,7,No
1168,29,Male,Single,Sales,Sales Executive,2,Technical Degree,5375,8,Yes,4,1,3,3,27,Non-Travel,6,4,Yes
1169,40,Male,Married,Sales,Sales Executive,1,Marketing,4526,19,Yes,4,2,2,3,3,Travel_Rarely,0,5,No
1170,29,Female,Married,Research & Development,Laboratory Technician,5,Other,7352,11,Yes,1,2,4,3,12,Travel_Frequently,5,4,Yes
1171,39,Female,Married,Research & Development,Laboratory Technician,1,Other,4725,13,Yes,4,3,2,3,16,Travel_Rarely,3,15,No
1172,32,Female,Married,Sales,Sales Executive,3,Medical,7312,14,No,3,2,1,3,1,Travel_Rarely,0,8,Yes
1173,23,Female,Married,Human Resources,Manager,5,Technical Degree,1573,5,Yes,2,3,1,3,17,Travel_Frequently,2,10,Yes
1174,30,Female,Single,Research & Development,Research Scientist,4,Other,5752,3,Yes,1,4,1,3,10,Travel_Rarely,2,3,Yes
1175,39,Male,Divorced,Sales,Sales Executive,4,Marketing,11663,21,No,2,3,3,3,24,Travel_Frequently,0,10,No
1176,44,Female,Single,Sales,Sales Executive,5,Other,5940,26,No,3,1,2,3,12,Non-Travel,1,3,Yes
1177,36,Male,Married,Research & Development,Research Scientist,2,Life Sciences,2991,18,No,2,2,1,4,18,Travel_Frequently,6,7,Yes
1178,36,Female,Married,Research & Development,Healthcare Representative,1,Human Resources,5489,7,Yes,2,2,1,3,13,Non-Travel,7,9,No
1179,39,Female,Single,Sales,Sales Executive,1,Marketing,3604,18,No,2,4,4,3,25,Travel_Rarely,8,7,Yes
1180,41,Male,Divorced,Human Resources,Human Resources,5,Marketing,11864,0,No,1,4,3,3,4,Non-Travel,3,13,No
1181,36,Female,Single,Sales,Sales Executive,1,Life Sciences,7905,18,No,3,4,1,4,19,Non-Travel,2,12,Yes
1182,43,Male,Married,Research & Development,Manufacturing Director,2,Marketing,5095,20,No,3,3,2,3,3,Travel_Frequently,2,3,Yes
1183,39,Female,Divorced,Sales,Sales Representative,4,Life Sciences,6544,21,Yes,4,3,1,3,3,Non-Travel,4,1,Yes
1184,37,Male,Married,Research & Development,Laboratory Technician,2,Marketing,3794,19,Yes,3,3,2,3,1,Travel_Frequently,7,7,Yes
1185,37,Male,Single,Sales,Sales Executive,1,Life Sciences,8242,8,Yes,4,3,1,3,19,Travel_Rarely,1,0,No
1186,50,Female,Married,Sales,Manager,2,Life Sciences,9857,7,Yes,4,1,4,3,27,Travel_Rarely,7,0,No
1187,56,Male,Married,Research & Development,Healthcare Representative,2,Marketing,3814,28,Yes,1,2,4,3,14,Travel_Frequently,7,1,Yes
1188,44,Male,Divorced,Research & Development,Manufacturing Director,5,Medical,7141,26,Yes,4,3,4,3,12,Travel_Frequently,8,10,Yes
1189,56,Male,Single,Sales,Sales Representative,1,Marketing,3670,30,No,2,2,2,3,9,Travel_Rarely,0,7,No
1190,29,Female,Single,Human Resources,Manager,2,Medical,4402,11,No,3,1,3,3,19,Travel_Rarely,9,6,No
1191,18,Female,Single,Research & Development,Manufacturing Director,2,Technical Degree,4659,0,Yes,2,2,4,3,1,Travel_Rarely,9,6,No
1192,30,Female,Single,Sales,Sales Executive,1,Life Sciences,7026,12,Yes,1,3,3,4,23,Travel_Frequently,6,3,Yes
1193,40,Female,Married,Sales,Sales Executive,4,Other,13066,11,No,2,2,3,3,5,Non-Travel,0,12,No
1194,45,Male,Married,Research & Development,Manager,2,Human Resources,4480,27,Yes,1,4,1,3,8,Travel_Rarely,5,5,No
1195,28,Female,Single,Human Resources,Manager,1,Marketing,8221,10,Yes,3,3,1,3,2,Travel_Rarely,6,5,No
1196,25,Female,Single,Research & Development,Manufacturing Director,5,Technical Degree,12910,7,Yes,2,4,1,3,10,Non-Travel,4,3,Yes
1197,47,Male,Single,Sales,Sales Representative,1,Human Resources,4857,21,No,1,4,2,4,20,Travel_Frequently,2,1,Yes
1198,21,Female,Divorced,Sales,Sales Executive,5,Other,11238,3,No,3,3,1,3,13,Travel_Rarely,7,4,Yes
1199,35,Female,Single,Sales,Sales Executive,5,Technical Degree,10832,6,Yes,2,2,1,3,16,Travel_Frequently,4,12,Yes
1200,22,Male,Single,Research & Development,Healthcare Representative,5,Technical Degree,4402,4,No,3,2,3,3,15,Travel_Rarely,3,8,No
1201,37,Male,Married,Sales,Manager,1,Other,6664,19,No,2,1,4,3,18,Travel_Rarely,7,7,No
1202,32,Male,Divorced,Sales,Manager,5,Human Resources,8679,14,Yes,1,4,2,3,7,Travel_Frequently,2,1,Yes
1203,27,Male,Married,Human Resources,Manager,2,Human Resources,6001,9,Yes,1,4,3,3,28,Non-Travel,7,0,No
1204,38,Female,Single,Research & Development,Manager,1,Technical Degree,8300,9,Yes,1,1,3,3,29,Travel_Rarely,6,15,Yes
1205,43,Female,Divorced,Research & Development,Laboratory Technician,4,Medical,2563,25,No,1,4,3,4,23,Non-Travel,7,8,No
1206,23,Female,Divorced,Sales,Sales Representative,3,Technical Degree,10971,5,Yes,2,3,4,4,25,Travel_Frequently,4,13,No
1207,39,Male,Married,Sales,Sales Representative,4,Other,3880,21,No,1,2,4,3,5,Travel_Rarely,8,0,Yes
1208,50,Male,Married,Research & Development,Laboratory Technician,2,Life Sciences,6904,3,No,2,3,4,3,17,Travel_Rarely,1,0,No
1209,47,Male,Divorced,Research & Development,Manufacturing Director,4,Human Resources,6736,22,No,2,3,1,3,10,Non-Travel,0,5,No
1210,55,Male,Single,Research & Development,Laboratory Technician,2,Other,12643,17,No,1,1,2,3,21,Non-Travel,0,7,Yes
1211,34,Female,Married,Research & Development,Healthcare Representative,4,Technical Degree,9900,16,No,2,4,4,3,19,Non-Travel,8,11,No
